trailing_pe,forward_pe,peg,dividend_yield,earnings_growth,revenue_growth,ticker,quarter,excess_6m,excess_12m,target_6m,target_12m,log_trailing_pe,log_forward_pe,cluster
32.646923358623795,32.646923358623795,0.0,0.0,0.0,0.0,MMM,2020-06-30 23:59:59.999999999,-0.06664127227745209,-0.09409157496472531,0,0,3.51592162126059,3.51592162126059,0
33.82897479717548,33.82897479717548,0.0,0.0,0.0,0.0,MMM,2020-09-30 23:59:59.999999999,-0.04283302501444486,-0.17004283440669288,0,0,3.5504496494679767,3.5504496494679767,0
37.23385854867789,37.23385854867789,0.0,0.0,0.0,0.0,MMM,2020-12-31 23:59:59.999999999,0.0006290469900527285,-0.23974369954310037,1,0,3.6437214724786484,3.6437214724786484,0
41.38301908052885,41.38301908052885,0.0,0.0,0.0,0.0,MMM,2021-03-31 23:59:59.999999999,-0.16576310968261188,-0.3564117259991263,0,0,3.7467477886352643,3.7467477886352643,0
42.97486760066106,42.97486760066106,0.0,0.0,0.0,0.0,MMM,2021-06-30 23:59:59.999999999,-0.20854671379574197,-0.21791987732207252,0,0,3.78361827983253,3.78361827983253,0
38.24295278695914,38.24295278695914,0.0,0.0,0.0,0.0,MMM,2021-09-30 23:59:59.999999999,-0.17000801177506353,-0.18984125682198438,0,0,3.6697718812788893,3.6697718812788893,0
39.03988882211539,39.03988882211539,0.0,0.0,0.0,0.0,MMM,2021-12-31 23:59:59.999999999,-0.056531082449141956,-0.11363121769713158,0,0,3.68987617777272,3.68987617777272,0
33.03745915339543,33.03745915339543,0.0,0.0,0.0,0.0,MMM,2022-03-31 23:59:59.999999999,-0.03933153854548088,-0.1826126671943229,0,0,3.5274616579520166,3.5274616579520166,0
29.00714815579928,29.00714815579928,0.0,0.0,0.0,0.0,MMM,2022-06-30 23:59:59.999999999,-0.10638171708241595,-0.38177536890045183,0,0,3.4014356251399,3.4014356251399,0
25.022676908052883,25.022676908052883,0.0,0.0,0.0,0.0,MMM,2022-09-30 23:59:59.999999999,-0.13264632724922587,-0.3214662521090279,0,0,3.2589683466571375,3.2589683466571375,0
27.473797137920673,27.473797137920673,0.0,0.0,0.0,0.0,MMM,2022-12-31 23:59:59.999999999,-0.3103347038044939,-0.29571425584296196,0,0,3.3489842656989652,3.3489842656989652,0
24.39965116060697,24.39965116060697,0.0,0.0,0.0,0.0,MMM,2023-03-31 23:59:59.999999999,-0.13431863266553012,-0.22340115421346196,0,0,3.2347354400958097,3.2347354400958097,0
23.58751737154447,23.58751737154447,0.0,0.0,0.0,0.0,MMM,2023-06-30 23:59:59.999999999,-0.032455481406699294,0.04316526741310134,0,1,3.202238890234276,3.202238890234276,2
22.392726017878605,22.392726017878605,0.0,0.0,0.0,0.0,MMM,2023-09-30 23:59:59.999999999,-0.19811279390554415,0.4646411323548876,0,1,3.152425120101744,3.152425120101744,2
26.5594482421875,26.5594482421875,0.0,0.0,0.0,0.0,MMM,2023-12-31 23:59:59.999999999,-0.008734573396977696,0.2115221315093163,0,1,3.3163454257051193,3.3163454257051193,0
26.197890061598557,26.197890061598557,0.0,0.0,0.0,0.0,MMM,2024-03-31 23:59:59.999999999,0.4565760642805192,0.610495153319194,1,1,3.3031393990283866,3.3031393990283866,0
30.39618858924279,30.39618858924279,0.0,0.0,0.0,0.0,MMM,2024-06-30 23:59:59.999999999,0.19956789471514602,0.37086570981561473,1,1,3.4466865030385634,3.4466865030385634,0
40.88030066856971,40.88030066856971,0.0,0.0,0.0,0.0,MMM,2024-09-30 23:59:59.999999999,0.09852033271195726,-0.0177438735921025,1,0,3.734815565264285,3.734815565264285,0
38.80983323317308,38.80983323317308,0.0,0.0,0.0,0.0,MMM,2024-12-31 23:59:59.999999999,0.13001672693877042,0.08596296425641214,1,1,3.6841139479347023,3.6841139479347023,0
44.37003737229567,44.37003737229567,0.0,0.0,0.0,0.0,MMM,2025-03-31 23:59:59.999999999,-0.1312842573752515,-0.16911587374106118,0,0,3.8148519173981623,3.8148519173981623,0
46.22073599008414,46.22073599008414,0.0,0.0,0.0,0.0,MMM,2025-06-30 23:59:59.999999999,0.022922172465135837,-0.2366836210458383,1,0,3.854833117941748,3.854833117941748,0
47.33102182241586,47.33102182241586,0.0,0.0,0.0,0.0,MMM,2025-09-30 23:59:59.999999999,0.034278448878503065,-0.16842089137372085,1,0,3.8780736282450334,3.8780736282450334,0
49.04148512620192,49.04148512620192,0.0,0.0,0.0,0.0,MMM,2025-12-31 23:59:59.999999999,-0.172723951865432,-0.172723951865432,0,0,3.912852363939318,3.912852363939318,0
44.68615253155048,44.68615253155048,0.0,0.0,0.0,0.0,MMM,2026-03-31 23:59:59.999999999,-0.13287723207866775,-0.13287723207866775,0,0,3.821795243921588,3.821795243921588,0
77.25537194301252,77.25537194301252,0.0,0.0,0.0,0.0,AOS,2020-06-30 23:59:59.999999999,0.022500451120422094,0.1472318206060208,1,1,4.3599774780928024,4.3599774780928024,0
86.95955112363688,86.95955112363688,0.0,0.0,0.0,0.0,AOS,2020-09-30 23:59:59.999999999,-0.009489615309299593,-0.1233165810810215,0,0,4.476877062486146,4.476877062486146,0
90.74490134072626,90.74490134072626,0.0,0.0,0.0,0.0,AOS,2020-12-31 23:59:59.999999999,0.1725636316091932,0.3045339578220374,1,1,4.5190119141722995,4.5190119141722995,0
112.46624293234792,112.46624293234792,0.0,0.0,0.0,0.0,AOS,2021-03-31 23:59:59.999999999,-0.17966288336754643,-0.19478068351647393,0,0,4.731505373585369,4.731505373585369,0
120.33885060453187,120.33885060453187,0.0,0.0,0.0,0.0,AOS,2021-06-30 23:59:59.999999999,0.034801637703853805,-0.12163145460637004,1,0,4.798587049950183,4.798587049950183,0
102.36925888480567,102.36925888480567,0.0,0.0,0.0,0.0,AOS,2021-09-30 23:59:59.999999999,0.10776926618185567,-0.03489730143130099,1,0,4.638307615016196,4.638307615016196,0
144.53690988770424,144.53690988770424,0.0,0.0,0.0,0.0,AOS,2021-12-31 23:59:59.999999999,-0.15740038903191855,-0.13811048582586072,0,0,4.980429730645333,4.980429730645333,1
107.96362905875966,107.96362905875966,0.0,0.0,0.0,0.0,AOS,2022-03-31 23:59:59.999999999,-0.029415748895715854,0.1829007558002561,0,1,4.691014148186129,4.691014148186129,0
92.81347715474885,92.81347715474885,0.0,0.0,0.0,0.0,AOS,2022-06-30 23:59:59.999999999,0.032687158995660104,0.16279041362283708,1,1,4.541308525379395,4.541308525379395,0
82.84254154413448,82.84254154413448,0.0,0.0,0.0,0.0,AOS,2022-09-30 23:59:59.999999999,0.24652337651396938,0.1714426779629623,1,1,4.428940534332426,4.428940534332426,0
98.17775026514869,98.17775026514869,0.0,0.0,0.0,0.0,AOS,2022-12-31 23:59:59.999999999,0.1146633002946349,0.20433978312246115,1,1,4.5969136974517175,4.5969136974517175,0
119.19815694836197,119.19815694836197,0.0,0.0,0.0,0.0,AOS,2023-03-31 23:59:59.999999999,-0.08754316301270659,0.01904189649367094,0,1,4.789141688775249,4.789141688775249,0
126.01545816461318,126.01545816461318,0.0,0.0,0.0,0.0,AOS,2023-06-30 23:59:59.999999999,0.007545115033059657,-0.1030326102257968,1,0,4.844308796883177,4.844308796883177,0
114.96939531659433,114.96939531659433,0.0,0.0,0.0,0.0,AOS,2023-09-30 23:59:59.999999999,0.06691612173523542,0.01969087352925203,1,1,4.7533263228185545,4.7533263228185545,0
144.00450051027266,144.00450051027266,0.0,0.0,0.0,0.0,AOS,2023-12-31 23:59:59.999999999,-0.15345117414030918,-0.40896986631270016,0,0,4.976764779940786,4.976764779940786,1
